degree,coefficients,input_sequence,target_sequence
3,"5,9,-5,10,0,0","47843,56867,66961,78185,90599,104263",119237
3,"-6,9,7,4,0,0","1772,2562,3558,4784,6264,8022",10082
1,"6,-10,0,0,0,0","-224,-234,-244,-254,-264",-274
2,"-10,-1,-7,0,0,0","-1786,-1570,-1368,-1180,-1006,-846,-700,-568",-450
2,"-10,8,-2,0,0,0","-394,-452,-514,-580,-650",-724
4,"7,-6,5,-5,6,0","71,385,1279,3227,6847,12901,22295,36079,55447",81737
5,"-2,-7,2,3,-2,-10","-119673816,-144491636,-173265766,-206451408,-244537412,-288047476,-337541346,-393616016",-456906928
5,"1,1,6,9,1,7","-54869,-22229,-7395,-1811,-257",-9
1,"7,4,0,0,0,0","-65,-61,-57,-53,-49,-45",-41
4,"-8,-4,-8,9,10,0","-1,184,961,2984,7147,14584,26669",45016
5,"-1,9,3,-8,-10,6","54564599,66580149,80623997,96942635,115801755,137486969,162304529,190582047,222669215",258938525
5,"4,6,-5,-2,4,-9","9706148,7042414,4998508,3459356,2325100,1510018,941444",558688
3,"-4,2,-4,4,0,0","-154,-56,-14,-4,-2,16",74
1,"7,-10,0,0,0,0","-123,-133,-143,-153,-163,-173,-183,-193,-203",-213
1,"-1,8,0,0,0,0","-49,-41,-33,-25,-17,-9",-1
3,"0,-8,7,4,0,0","-4389,-3220,-2277,-1536,-973,-564",-285
4,"7,3,-2,-3,5,0","431722,339415,262762,199885,149026,108547,76930,52777,34810",21871
2,"0,1,-1,0,0,0","-812,-870,-930,-992,-1056,-1122,-1190,-1260",-1332
2,"7,9,6,0,0,0","5314,5677,6052,6439,6838",7249
5,"9,10,10,-5,-3,-5","-26519099,-33076544,-40871559,-50071616,-60858659,-73429704,-87997439,-104790824,-124055691",-146055344
2,"-4,-10,-3,0,0,0","-52,-29,-12,-1,4",3
2,"-9,3,-6,0,0,0","-1062,-909,-768,-639,-522,-417,-324,-243",-174
3,"-8,0,-3,-7,0,0","2246,1396,792,392,154,36,-4,-8,-18",-76
1,"-1,8,0,0,0,0","-41,-33,-25,-17,-9,-1,7,15,23,31",39
3,"7,2,-2,-8,0,0","-158861,-177121,-196729,-217733,-240181,-264121,-289601",-316669
4,"6,-10,10,-1,6,0","41001,25814,15315,8418,4181,1806,639,170,33,6",11
3,"-7,3,10,-5,0,0","-11725,-14587,-17879,-21631,-25873,-30635,-35947,-41839,-48341,-55483",-63295
5,"-4,-9,-7,3,-1,7","1725152,2575777,3733082,5273411,7284844,9868037,13137062,17220247,22261016",28418729
1,"-4,-3,0,0,0,0","-25,-28,-31,-34,-37,-40",-43
5,"0,-4,-8,1,-2,8","77354275,94149120,113742117,136469200,162692175,192799680,227208145,266362752,310738395",360840640
4,"3,8,-4,7,10,0","1349934,1654563,2008044,2415339,2881650,3412419,4013328,4690299,5449494",6297315
2,"-7,1,3,0,0,0","567,487,413,345,283,227,177",133
2,"5,7,-6,0,0,0","-775,-918,-1073,-1240,-1419",-1610
5,"4,6,3,0,7,-8","-1185488,-1844996,-2769828,-4033004,-5719856,-7928988,-10773236",-14380628
4,"10,-2,-5,-4,10,0","13666,6645,2754,889,186",21
5,"8,-10,7,-1,-7,-4","-22261792,-27712945,-34182952,-41808367,-50737432,-61130557,-73160800,-87014347,-102890992",-121004617
4,"10,10,-1,7,6,0","535408,670546,829778,1015810,1231492,1479818,1763926,2087098,2452760",2864482
3,"0,10,-7,-6,0,0","-76475,-86736,-97875,-109928,-122931,-136920,-151931,-168000",-185163
2,"-6,4,-4,0,0,0","-846,-966,-1094,-1230,-1374,-1526,-1686",-1854
4,"8,-7,-9,10,-9,0","-42496,-25423,-14098,-7057,-3052,-1051,-238,-13,8,-7",-106
1,"-3,-10,0,0,0,0","-33,-43,-53,-63,-73",-83
3,"10,-7,10,-8,0,0","-43532,-51385,-60130,-69815,-80488,-92197,-104990,-118915",-134020
4,"-8,-2,-10,4,2,0","1134262,1309216,1503642,1718932,1956526,2217912,2504626,2818252,3160422",3532816
2,"-4,-2,-6,0,0,0","-708,-584,-472,-372,-284",-208
4,"4,0,-6,10,7,0","240300,176947,127012,88455,59404,38155,23172,13087,6700,2979",1060
2,"-6,-4,-1,0,0,0","-227,-198,-171,-146,-123",-102
1,"4,-10,0,0,0,0","-226,-236,-246,-256,-266,-276,-286,-296",-306
5,"4,6,-6,-8,-6,-3","-55499188,-65977113,-77981216,-91672483,-107222844",-124815533
1,"-1,-4,0,0,0,0","71,67,63,59,55,51,47,43,39,35",31
1,"10,6,0,0,0,0","-14,-8,-2,4,10,16",22
3,"1,1,0,-3,0,0","-80969,-89341,-98271,-107777,-117877,-128589,-139931,-151921,-164577,-177917",-191959
5,"-5,-3,-1,-7,5,3","-5390,-1353,-140,37,6,-5,-8,105",922
5,"9,2,0,-6,-10,-9","-5241003,-7360836,-10117079,-13643358,-18090819,-23629208",-30447951
1,"-3,2,0,0,0,0","-1,1,3,5,7",9
4,"8,-5,-2,-3,3,0","801857,952592,1123633,1316726,1533689,1776412,2046857,2347058",2679121
1,"9,4,0,0,0,0","29,33,37,41,45,49,53",57
2,"2,10,-2,0,0,0","-98,-70,-46,-26,-10,2,10",14
2,"1,5,10,0,0,0","2806,2481,2176,1891,1626,1381,1156,951",766
2,"-10,2,-3,0,0,0","-843,-946,-1055,-1170,-1291,-1418,-1551,-1690,-1835,-1986",-2143
3,"-9,8,-1,10,0,0","106163,121316,137847,155816,175283,196308,218951",243272
2,"-1,7,1,0,0,0","-11,-7,-1,7,17,29,43",59
1,"1,2,0,0,0,0","-19,-17,-15,-13,-11,-9,-7,-5",-3
2,"-10,-4,-7,0,0,0","-1965,-1738,-1525,-1326,-1141,-970,-813,-670,-541,-426",-325
4,"-1,-6,-7,-2,-3,0","-1410969,-1638955,-1893529,-2176683,-2490481",-2837059
3,"-6,-7,-10,6,0,0","98508,110613,123670,137715,152784,168913,186138",204495
5,"-10,1,-9,-2,8,-9","23337899,17854640,13454079,9967334,7244075",5151444
1,"9,4,0,0,0,0","89,93,97,101,105",109
2,"0,0,-8,0,0,0","-32,-72,-128,-200,-288,-392,-512,-648,-800,-968",-1152
5,"-2,2,-8,-9,5,-6","8,-2,-18,-214,-1364",-5562
1,"7,2,0,0,0,0","-5,-3,-1,1,3,5,7,9,11",13
5,"6,-7,-10,-6,6,1","-633226,-437514,-292720,-188338,-115398,-66346,-34924,-16050,-5698,-778",984
5,"-5,2,-10,6,5,-5","-725257,-1131533,-1702147,-2482513,-3525725,-4893157,-6655063",-8891177
2,"-2,0,1,0,0,0","14,7,2,-1,-2,-1,2",7
4,"-1,0,-7,-2,4,0","-2,-1,-6,19,206,783",2074
5,"-6,5,5,0,-6,-4","-38676,-81360,-155294,-275118,-459456,-731396,-1118970,-1655634",-2380748
3,"7,2,7,1,0,0","-737,-499,-313,-173,-73,-7",31
1,"0,5,0,0,0,0","-100,-95,-90,-85,-80",-75
3,"10,-1,9,-6,0,0","32106,26906,22300,18252,14726,11686",9096
3,"3,-7,3,-9,0,0","-51639,-60778,-70937,-82170,-94531,-108074,-122853,-138922",-156335
4,"-10,7,8,3,-2,0","-189748,-237054,-292670,-357514,-432552,-518798,-617314",-729210
1,"3,-7,0,0,0,0","-67,-74,-81,-88,-95,-102,-109,-116,-123",-130
1,"2,-10,0,0,0,0","172,162,152,142,132,122,112,102,92",82
2,"-2,-9,8,0,0,0","4023,4390,4773,5172,5587",6018
1,"-3,-2,0,0,0,0","-59,-61,-63,-65,-67,-69,-71,-73,-75",-77
5,"7,-3,4,8,10,3","48521437,57956339,68804653,81219517,95364749,111415207,129557149,149988593,172919677,198573019",227184077
4,"-10,-8,9,-1,-3,0","-190090,-146365,-110638,-81871,-59098",-41425
2,"10,9,8,0,0,0","594,739,900,1077,1270",1479
2,"9,-9,-7,0,0,0","-3577,-3901,-4239,-4591,-4957,-5337,-5731",-6139
5,"4,-6,5,1,-6,-4","196564,106356,52770,23332,8784,2604",526
1,"9,8,0,0,0,0","-79,-71,-63,-55,-47,-39,-31,-23",-15
2,"3,-10,8,0,0,0","4753,5151,5565,5995,6441,6903,7381,7875",8385
1,"-1,-2,0,0,0,0","-39,-41,-43,-45,-47,-49,-51,-53",-55
3,"4,7,-5,6,0,0","-43088,-36734,-31038,-25964,-21476",-17538
3,"-1,6,-9,-8,0,0","30367,24884,20103,15976,12455,9492",7039
1,"8,-10,0,0,0,0","98,88,78,68,58,48,38,28,18,8",-2
1,"-3,10,0,0,0,0","-43,-33,-23,-13,-3,7,17,27,37,47",57
4,"-9,0,0,8,-10,0","-7259,-3081,-1035,-233,-27,-9,-11",-105
2,"1,6,5,0,0,0","1692,1513,1344,1185,1036,897,768,649,540,441",352
3,"-7,1,7,-2,0,0","2009,1457,1015,671,413,229",107
2,"-1,-9,-4,0,0,0","-91,-56,-29,-10,1,4,-1,-14,-35",-64
5,"-3,9,-6,-2,1,4","-19,-3,3,119,969,4161,12767,31803,68709",133829
2,"3,2,-9,0,0,0","-309,-424,-557,-708,-877,-1064,-1269,-1492,-1733",-1992
2,"8,7,-9,0,0,0","-624,-482,-358,-252,-164",-94
1,"-2,-6,0,0,0,0","-26,-32,-38,-44,-50,-56,-62,-68,-74",-80
3,"-7,-4,8,3,0,0","-20727,-17620,-14839,-12366,-10183,-8272,-6615",-5194
2,"-6,-10,-8,0,0,0","-1038,-864,-706,-564,-438,-328,-234,-156",-94
3,"-7,-9,-10,2,0,0","21665,24768,28151,31826,35805,40100,44723,49686,55001",60680
1,"-4,-5,0,0,0,0","61,56,51,46,41,36,31,26,21",16
5,"7,9,-2,5,2,10","25055383,32359387,41275591,52057309,64983103",80357983
4,"9,7,1,-8,7,0","40248,62179,92046,131565,182620,247263,327714",426361
3,"-7,-1,4,2,0,0","-12262,-10357,-8660,-7159,-5842,-4697",-3712
3,"-5,7,-5,-1,0,0","-18580,-20779,-23144,-25681,-28396,-31295",-34384
3,"6,-3,5,2,0,0","4146,5206,6432,7836,9430",11226
2,"-10,4,1,0,0,0","-5,2,11,22,35,50,67,86",107
2,"-1,-7,8,0,0,0","14,-1,0,17,50,99,164,245,342",455
3,"8,-10,2,2,0,0","8,2,12,50,128,258,452,722",1080
1,"6,10,0,0,0,0","236,246,256,266,276,286,296",306
1,"-5,-9,0,0,0,0","58,49,40,31,22,13",4
1,"-8,2,0,0,0,0","28,30,32,34,36,38",40
4,"-2,-6,9,4,-10,0","-199226,-275381,-371506,-490817,-636770,-813061,-1023626,-1272641,-1564522",-1903925
5,"3,8,8,-4,3,4","-5407034,-3979389,-2870442,-2023613,-1389450,-925149,-594074,-365277",-213018
2,"1,-5,-5,0,0,0","-549,-449,-359,-279,-209,-149,-99,-59,-29",-9
3,"7,-3,5,-10,0,0","-239765,-265583,-293191,-322649,-354017,-387355,-422723",-460181
3,"3,-1,-5,6,0,0","-14011,-11073,-8577,-6487,-4767,-3381,-2293",-1467
4,"6,3,6,-5,-1,0","-20,-147,-462,-1079,-2136,-3795,-6242,-9687,-14364",-20531
1,"-2,7,0,0,0,0","-44,-37,-30,-23,-16",-9
2,"-8,-3,-5,0,0,0","-148,-206,-274,-352,-440",-538
3,"-8,4,1,3,0,0","-17252,-14526,-12104,-9968,-8100,-6482",-5096
3,"-6,-2,-3,1,0,0","1658,2122,2664,3290,4006,4818",5732
5,"-6,9,10,5,3,10","343234,614703,1036084,1662391,2560710,3811399",5509288
5,"-5,-10,-10,5,-4,-9","63415,24795,7747,1663,159,-5,-5",-33
3,"-3,9,3,7,0,0","98709,111472,125291,140208,156265,173504,191967,211696,232733",255120
2,"-4,5,3,0,0,0","1424,1558,1698,1844,1996",2154
4,"10,-3,2,-4,1,0","496,1116,2162,3790,6180,9536,14086,20082",27800
2,"3,-2,2,0,0,0","547,483,423,367,315,267,223,183",147
3,"-9,-6,-10,-8,0,0","-9,-33,-125,-333,-705,-1289,-2133",-3285
3,"5,-5,-10,10,0,0","15785,20220,25415,31430,38325",46160
4,"-5,2,-4,5,-2,0","-1649,-3274,-5877,-9788,-15385,-23094,-33389,-46792,-63873",-85250
3,"2,10,-4,3,0,0","-5878,-4585,-3498,-2599,-1870,-1293,-850",-523
3,"-8,2,4,-4,0,0","33552,28834,24580,20766,17368,14362",11724
5,"-8,9,6,5,0,-10","30722,9972,2314,278,-6,-8,2,-246",-2222
3,"8,0,-4,-10,0,0","-5368,-7606,-10392,-13786,-17848,-22638,-28216,-34642,-41976",-50278
5,"8,6,-4,-9,3,5","-749895,-461452,-269371,-147240,-73975,-33220,-12747,-3856",-775
2,"-4,7,-3,0,0,0","-1064,-1180,-1302,-1430,-1564,-1704,-1850",-2002
5,"0,-8,-10,0,-6,2","6996738,8896712,11188166,13928640,17181050",21013928
1,"-4,-1,0,0,0,0","16,15,14,13,12,11,10",9
2,"3,4,-2,0,0,0","-795,-877,-963,-1053,-1147,-1245,-1347,-1453,-1563",-1677
4,"-7,-9,-2,4,7,0","15393,8183,3863,1533,461,83",3
2,"6,10,5,0,0,0","246,321,406,501,606,721,846,981",1126
5,"5,9,1,-8,3,1","-1527817,-1129849,-819083,-580405,-400549,-267977,-172759",-106453
5,"5,-10,6,0,-8,-8","420485,229845,115617,52121,20205,6285,1385",177
1,"5,-7,0,0,0,0","-86,-93,-100,-107,-114,-121,-128,-135",-142
5,"-5,-4,4,-6,-6,9","-5,-8,147,1558,7339,23700,61027,134962,267483",487984
4,"9,-9,5,-4,-7,0","-3795408,-4386723,-5044570,-5773761,-6579276,-7466263,-8440038,-9506085,-10670056",-11937771
2,"8,0,-3,0,0,0","-4,5,8,5,-4",-19
5,"-2,-7,-5,6,-8,-6","-23162,-55952,-118288,-226682,-402878,-674572,-1076132",-1649318
5,"8,-8,10,-3,-6,6","140867768,166153777,194946824,227599655,264487912,306010853",352592072
1,"2,-5,0,0,0,0","2,-3,-8,-13,-18,-23,-28,-33",-38
1,"-10,4,0,0,0,0","18,22,26,30,34",38
3,"0,0,0,5,0,0","-5,0,5,40,135,320,625,1080,1715",2560
5,"1,-9,3,-3,-9,-4","-88481029,-104568569,-122915061,-143750431,-167319701,-193883469,-223718389,-257117651,-294391461,-335867521",-381891509
2,"-6,-1,4,0,0,0","764,879,1002,1133,1272,1419,1574,1737",1908
3,"1,-4,7,-5,0,0","-83,-223,-469,-851,-1399,-2143,-3113,-4339,-5851",-7679
3,"6,2,1,4,0,0","286,541,918,1441,2134",3021
3,"-4,8,5,5,0,0","126378,139736,154004,169212,185390",202568
2,"-2,-5,-9,0,0,0","-98,-166,-252,-356,-478,-618",-776
4,"4,-2,-6,-3,-2,0","-64749,-86264,-112751,-144924,-183545",-229424
1,"-4,-8,0,0,0,0","-228,-236,-244,-252,-260,-268,-276,-284",-292
2,"5,9,7,0,0,0","5351,5745,6153,6575,7011,7461,7925",8403
2,"-2,-2,4,0,0,0","238,304,378,460,550",648
1,"8,-7,0,0,0,0","-118,-125,-132,-139,-146,-153",-160
5,"-7,6,-2,-9,-9,-6","-12335227,-16091829,-20712687,-26339047,-33126771",-41247057
2,"10,1,6,0,0,0","747,886,1037,1200,1375,1562",1761
5,"-6,-4,-3,8,-4,-8","-26177286,-33378057,-42082442,-52514457,-64919334,-79564481",-96740442
1,"0,8,0,0,0,0","152,160,168,176,184",192
2,"10,5,6,0,0,0","256,339,434,541,660,791,934,1089",1256
3,"-6,-7,4,-5,0,0","64,10,-6,-14,-44,-126,-290,-566",-984
3,"1,-5,10,-8,0,0","-133977,-150308,-167915,-186846,-207149,-228872,-252063,-276770,-303041,-330924",-360467
3,"-7,2,1,1,0,0","-673,-471,-315,-199,-117,-63",-31
2,"4,-1,-4,0,0,0","-56,-29,-10,1,4,-1,-14,-35,-64,-101",-146
1,"-9,-2,0,0,0,0","9,7,5,3,1,-1",-3
4,"1,-2,6,-2,-3,0","-57863,-40512,-27379,-17720,-10863,-6208,-3227,-1464",-535
2,"9,-1,-6,0,0,0","-13,4,9,2,-17,-48,-91,-146,-213",-292
2,"5,6,1,0,0,0","12,21,32,45,60,77,96,117,140",165
2,"0,5,3,0,0,0","12,2,-2,0,8,22,42,68,100,138",182
2,"-6,8,-8,0,0,0","-342,-246,-166,-102,-54,-22",-6
3,"-2,-5,5,-9,0,0","-137627,-154936,-173639,-193790,-215443,-238652,-263471,-289954,-318155,-348128",-379927
3,"-7,0,4,-7,0,0","-33242,-39535,-46576,-54407,-63070,-72607,-83060,-94471,-106882",-120335
1,"-9,4,0,0,0,0","-17,-13,-9,-5,-1,3,7,11",15
2,"-5,9,-3,0,0,0","-719,-815,-917,-1025,-1139,-1259",-1385
4,"-2,-2,8,-4,-5,0","-264857,-342050,-434981,-545654,-676193,-828842,-1005965,-1210046,-1443689,-1709618",-2010677
2,"4,-4,-5,0,0,0","-2972,-3221,-3480,-3749,-4028,-4317,-4616,-4925",-5244
4,"-3,0,2,-9,-9,0","-3,-19,-211,-957,-2851,-6703,-13539,-24601,-41347,-65451",-98803
3,"2,6,-1,-8,0,0","21674,17331,13610,10463,7842,5699",3986
4,"-8,0,4,-8,-6,0","-8,-18,-152,-674,-1992,-4658",-9368
4,"6,7,2,0,7,0","354936,459382,585350,735612,913108,1120946,1362402,1640920,1960112,2323758",2735806
4,"10,-9,-8,0,-10,0","-100700,-66167,-41390,-24329,-13184",-6395
4,"-3,0,10,10,-10,0","-26953,-14763,-7253,-3043,-993,-203,-13",-3
4,"6,-4,0,6,-2,0","-43986,-60418,-81054,-106554,-137626,-175026,-219558",-272074
4,"-3,9,2,3,-4,0","-2033,-4413,-8417,-14651,-23817,-36713,-54233",-77367
5,"-2,3,-8,-2,-9,3","8140858,10479985,13327488,16761961,20869702,25745073,31490860",38218633
4,"-1,7,-8,4,3,0","-1,5,61,299,923",2209
3,"9,-1,-2,-10,0,0","79229,67896,57699,48578,40473,33324,27071,21654,17013,13088",9819
2,"-9,9,-4,0,0,0","-43,-22,-9,-4,-7,-18,-37,-64,-99,-142",-193
4,"-4,1,-2,4,-1,0","-277612,-329354,-388002,-454144,-528392,-611382",-703774
2,"5,3,5,0,0,0","349,437,535,643,761,889,1027,1175,1333,1501",1679
1,"-9,4,0,0,0,0","-89,-85,-81,-77,-73",-69
4,"1,6,-5,-5,9,0","5418393,6239554,7150681,8158116,9268417,10488358,11824929,13285336,14877001,16607562",18484873
1,"4,-4,0,0,0,0","-116,-120,-124,-128,-132",-136
4,"1,-8,6,-4,-3,0","-68351,-93560,-125159,-164144,-211583,-268616,-336455,-416384,-509759,-618008",-742631
3,"1,-2,7,-1,0,0","-20759,-23125,-25663,-28379,-31279",-34369
2,"4,8,-7,0,0,0","-1916,-1691,-1480,-1283,-1100,-931,-776",-635
4,"4,8,-5,0,2,0","1169,2464,4617,7940,12793,19584",28769
2,"-4,4,4,0,0,0","956,1084,1220,1364,1516,1676,1844,2020,2204",2396
4,"-6,-4,9,10,9,0","2644902,3129306,3677394,4294518,4986246,5758362,6616866,7567974,8618118,9773946",11042322
3,"9,10,0,-8,0,0","21821,17455,13713,10547,7909,5751,4025,2683,1677,959",481
5,"-7,-9,-1,6,4,-2","6991773,5432131,4163879,3144177,2334601,1700903,1212771",843589
2,"-2,3,7,0,0,0","52,20,2,-2,8,32,70,122,188",268
3,"3,7,-6,5,0,0","12645,15633,19059,22953,27345,32265,37743",43809
5,"3,-2,-6,7,1,-1","90,-25,-6,3,2,15",-30
4,"-2,-6,0,-3,-8,0","-9686,-4597,-1834,-551,-94",-1
1,"9,5,0,0,0,0","-71,-66,-61,-56,-51,-46",-41
5,"-6,-10,-7,-1,8,6","108151730,128694570,152246394,179126240,209674938,244255830,283255490,327084444",376177890
2,"8,5,-7,0,0,0","-2974,-3270,-3580,-3904,-4242,-4594,-4960,-5340,-5734,-6142",-6564
5,"-10,-1,6,1,7,-5","-8705260,-11459252,-14869630,-19047262,-24114848,-30207520,-37473442,-46074410,-56186452",-68000428
4,"10,2,8,5,4,0","2075,834,265,62,15,10,29,150,547",1490
5,"-10,7,-10,4,-8,-8","-25,-388,-2563,-10126,-29725,-72040,-152743,-293458,-522721,-876940",-1401355
3,"3,-9,-9,7,0,0","21468,26227,31640,37749,44596,52223,60672,69985,80204",91371
1,"0,4,0,0,0,0","-16,-12,-8,-4,0,4",8
2,"10,10,-6,0,0,0","-1686,-1490,-1306,-1134,-974,-826,-690",-566
4,"9,0,10,-4,-1,0","-35650,-47423,-61866,-79351,-100274,-125055,-154138",-187991
5,"10,2,-8,4,3,9","4965110,6997990,9648170,13046660,17341822,22700450,29308850",37373920
1,"1,-10,0,0,0,0","91,81,71,61,51,41,31,21,11",1
5,"4,-2,1,7,-5,-2","-89,-60,-3,4,3,-84,-695",-2868
4,"-9,5,9,-9,8,0","16588,28767,46692,71941,106284,151683,210292",284457
2,"3,7,5,0,0,0","2355,2577,2809,3051,3303,3565,3837,4119,4411",4713
1,"-5,8,0,0,0,0","-29,-21,-13,-5,3,11,19,27,35,43",51
5,"10,0,-4,-2,-1,-5","7024444,5184522,3752110,2655418,1831632,1226314,792802,491610,289828",160522
2,"1,0,2,0,0,0","969,1059,1153,1251,1353,1459,1569,1683",1801
4,"-2,3,5,-4,3,0","92,7,-2,5,40,187,602,1513",3220
5,"-6,-1,-4,-5,0,4","7527792,9868632,12758374,16288308,20559324,25682392,31779042",38981844
5,"-7,-1,-5,-3,-1,7","-55261,-22252,-7315,-1750,-241,-16",-7
1,"5,3,0,0,0,0","56,59,62,65,68,71,74",77
5,"0,-10,-9,0,4,-5","-4983200,-6767972,-9031032,-11862650,-15363800,-19646760,-24835712,-31067342,-38491440",-47271500
5,"7,-10,-4,7,-9,-8","-883493,-1411447,-2165873,-3212813,-4630045,-6508043,-8950937,-12077473",-16021973
4,"4,-10,-6,-10,7,0","33492,20017,11080,5529,2380",817
3,"0,8,4,3,0,0","-19285,-16344,-13719,-11392,-9345,-7560,-6019,-4704",-3597
5,"-2,7,0,10,4,10","99375173,120817604,145811851,174782018,208184705",246510208
5,"-1,-1,3,3,-6,-9","-223476331,-263111261,-308180001,-359223019,-416815487,-481568361,-554129461,-635184551,-725458419,-825715957",-936763241
5,"-4,5,2,-6,7,-1","-2777317,-3576654,-4549289,-5721868,-7123629",-8786522
3,"10,8,-1,-2,0,0","195,90,31,6,3,10,15",6
5,"2,0,9,-6,-2,9","183047016,216926102,255645222,299705346,349640876,406020726",469449402
5,"5,6,5,3,5,5","19285,46229,97361,186229,330701,553565,883129,1353821,2006789",2890501
5,"4,-7,-10,-1,2,-7","3842486,2656775,1783672,1156841,720074,426451,237500,122357",56926
5,"-2,6,7,5,2,-4","32830,13268,4374,1042,134,0",-2
5,"-4,-9,-8,-9,-10,-7","-30620587,-38517890,-47966757,-59185372,-72411479,-87903222",-105939985
1,"7,8,0,0,0,0","31,39,47,55,63,71,79,87",95
3,"-5,10,5,5,0,0","-125,-45,-15,-5,15",75
4,"-1,-3,1,7,2,0","125054,159951,201670,251045,308958",376339
5,"-3,7,5,0,-7,-9","-5108253,-7187523,-9894547,-13361799,-17739201,-23195203,-29917863,-38115927",-48019909
1,"-10,-6,0,0,0,0","86,80,74,68,62,56,50,44,38,32",26
5,"-4,5,-10,-3,-4,9","35946893,45408986,56766043,70289396,86275121,105045118,126948191,152361128,181689781",215370146
4,"-1,9,-10,-3,2,0","31965,21909,14417,9015,5277,2825",1329
4,"-5,4,8,8,9,0","82755,53824,33243,19224,10195,4800",1899
4,"10,1,-7,1,7,0","356200,461082,587564,738424,916608,1125230,1367572,1647084,1967384",2332258
1,"-3,-9,0,0,0,0","15,6,-3,-12,-21,-30,-39,-48,-57",-66
5,"-6,8,7,-6,4,-2","-1334811,-1857670,-2532955,-3391818,-4469395,-5805046,-7442595,-9430570,-11822443,-14676870",-18057931
2,"6,10,8,0,0,0","1038,864,706,564,438,328,234,156,94",48
5,"7,10,-4,-8,-9,-2","5419,1482,159,-86,-45,-6,7,-6,-261,-1430",-4881
2,"-2,-7,-1,0,0,0","-982,-1046,-1112,-1180,-1250",-1322
